Individual,ID,Date,Date2,Time,Latitude,Longitude,Fix,CRC,Time_complete,Time_complete_local,Data_type,Species,Metal,Capture_ID,Island,Time_complete_local_deployment,Latitude_deployment,Longitude_deployment,Comment
Simon,ID 283450,20/12/2024,12/20/2024,13:02:56,-63.2949371,-56.4838524,3D,OK,12/20/2024 13:02,12/20/2024 10:02,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,14:02:40,-63.2947578,-56.4832649,3D,OK,12/20/2024 14:02,12/20/2024 11:02,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,15:02:24,-63.2947311,-56.4834442,3D,OK,12/20/2024 15:02,12/20/2024 12:02,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,16:02:08,-63.2947311,-56.4834175,3D,OK,12/20/2024 16:02,12/20/2024 13:02,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,17:01:52,-63.2947083,-56.4834671,3D,OK,12/20/2024 17:01,12/20/2024 14:01,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,18:01:36,-63.2953987,-56.4847221,3D,OK,12/20/2024 18:01,12/20/2024 15:01,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,19:01:20,-63.2945786,-56.4837265,3D,OK,12/20/2024 19:01,12/20/2024 16:01,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,19:54:49,-63.302,-56.467,A1,OK,12/20/2024 19:54,12/20/2024 16:54,Argos,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,20:01:04,-63.294632,-56.4837761,3D,OK,12/20/2024 20:01,12/20/2024 17:01,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
Simon,ID 283450,20/12/2024,12/20/2024,21:00:48,-63.2946548,-56.4835968,3D,OK,12/20/2024 21:00,12/20/2024 18:00,GPS,Brown skua,NA,WDL24-SKU-001,Joinville,12/20/2024 9:20,-63.29476459,-56.48409057,"Logger 283450, Simon"
